date,type,ticker,name,qty,price,currency,fees
2026-03-26,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,2.00,14.02,EUR,1.25
2026-01-22,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,2.00,14.53,EUR,1.25
2026-01-22,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,1.00,14.53,EUR,0
2025-10-17,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,1.00,13.73,EUR,1.25
2025-10-17,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,1.00,13.73,EUR,0
2025-10-17,Deposit,,,,200.00,EUR,0
2025-08-04,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,5.00,13.30,EUR,1.25
2025-08-04,Deposit,,,,100.00,EUR,0
2025-07-08,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,8.00,13.04,EUR,1.25
2025-07-08,Deposit,,,,100.00,EUR,0
2025-07-03,Buy,SPYL.DE,SPDR S&P 500 UCITS ETF Acc,2.00,12.93,EUR,1.25
2025-07-03,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,1.00,101.04,EUR,1.25
2025-07-03,Deposit,,,,100.00,EUR,0
2025-04-09,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,1.00,85.49,EUR,1.25
2025-04-09,Deposit,,,,50.00,EUR,0
2025-04-07,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,1.00,83.48,EUR,2.71
2025-04-04,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,2.00,91.19,EUR,0
2025-04-04,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,1.00,91.21,EUR,1.25
2025-04-04,Deposit,,,,400.00,EUR,0
2025-03-17,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,3.00,98.18,EUR,3.00
2025-03-17,Deposit,,,,300.00,EUR,0
2025-03-05,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,0.50,103.63,EUR,0
2025-03-05,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,2.00,103.62,EUR,3.00
2025-03-05,Deposit,,,,252.00,EUR,0
2024-11-01,Buy,VUAA.DE,Vanguard S&P 500 UCITS ETF USD Acc,0.50,100.33,EUR,3.00
2024-10-10,Deposit,,,,100.00,EUR,0
