date,type,ticker,name,qty,price,currency,fees
2026-05-01,Buy,AAPL,Apple Inc.,0.270000,282.93,USD,0
2026-04-08,Buy,MSFT,Microsoft Corporation,0.300000,380.90,USD,0
2026-03-31,Buy,WM,Waste Management Inc.,0.200000,228.60,USD,0
2026-02-17,Buy,MSFT,Microsoft Corporation,0.200000,398.40,USD,0
2026-02-17,Buy,AMZN,Amazon.com Inc.,0.270000,201.44,USD,0
2026-01-30,Buy,BRK.B,Berkshire Hathaway Inc,0.100000,478.30,USD,0
2025-12-29,Buy,META,Meta Platforms Inc.,0.100000,657.30,USD,0
2025-11-10,Buy,META,Meta Platforms Inc.,0.100000,631.20,USD,0
2025-10-28,Buy,WM,Waste Management Inc.,0.300000,207.23,USD,0
2025-08-15,Buy,BRK.B,Berkshire Hathaway Inc,0.100000,477.60,USD,0
2025-07-07,Buy,BRK.B,Berkshire Hathaway Inc,0.206194,484.98,USD,0
2025-06-10,Buy,GOOGL,Alphabet Inc.,0.335965,178.59,USD,0
2025-04-04,Buy,GOOGL,Alphabet Inc.,0.350000,147.20,USD,0
2025-03-03,Buy,GOOGL,Alphabet Inc.,0.319805,171.98,USD,0
2024-09-28,Buy,MSFT,Microsoft Corporation,0.052000,428.85,USD,0
2024-07-31,Buy,MSFT,Microsoft Corporation,0.039516,420.59,USD,0
2024-01-04,Buy,AAPL,Apple Inc.,0.185884,182.91,USD,0
2023-12-01,Buy,NIO,NIO Inc.,1.890000,7.25,USD,0
2023-11-20,Buy,MDT,Medtronic plc,0.500000,75.14,USD,0
2023-10-31,Buy,META,Meta Platforms Inc.,0.123000,300.65,USD,0
2023-08-30,Buy,WM,Waste Management Inc.,0.100000,159.20,USD,0
2023-06-20,Sell,MSFT,Microsoft Corporation,0.291041,339.26,USD,0
2023-05-31,Buy,BRK.B,Berkshire Hathaway Inc,0.200000,321.45,USD,0
2023-03-01,Buy,BRK.B,Berkshire Hathaway Inc,0.060000,302.67,USD,0
2023-02-23,Buy,MSFT,Microsoft Corporation,0.100000,254.40,USD,0
2023-01-20,Buy,MDT,Medtronic plc,0.412242,80.05,USD,0
2022-10-25,Buy,MSFT,Microsoft Corporation,0.102000,249.71,USD,0
2022-09-02,Buy,MSFT,Microsoft Corporation,0.114811,261.30,USD,0
2022-08-25,StockSplit,TSLA,Tesla Inc.,0,0,USD,0
2022-08-19,Sell,WM,Waste Management Inc.,0.900000,175.50,USD,0
2022-08-19,Sell,AAPL,Apple Inc.,0.300000,173.30,USD,1.02
2022-08-01,Buy,NIO,NIO Inc.,0.446766,20.10,USD,1.02
2022-08-01,Buy,META,Meta Platforms Inc.,0.127186,157.25,USD,0
2022-07-20,Buy,WM,Waste Management Inc.,0.091666,152.62,USD,1.01
2022-07-20,Buy,MSFT,Microsoft Corporation,0.092340,259.80,USD,1.01
2022-07-20,Buy,BRK.B,Berkshire Hathaway Inc,0.073742,284.64,USD,1.01
2022-07-18,StockSplit,GOOGL,Alphabet Inc.,0,0,USD,0
2022-07-01,Buy,AAPL,Apple Inc.,0.220442,136.09,USD,0
2022-06-06,StockSplit,AMZN,Amazon.com Inc.,0,0,USD,0
2022-06-03,Buy,BRK.B,Berkshire Hathaway Inc,0.159744,313.00,USD,0
2022-02-04,Sell,V,Visa Inc.,0.130000,228.00,USD,0
2022-02-04,Sell,INTC,Intel Corporation,2.000000,47.86,USD,0
2022-02-04,Sell,DBX,Dropbox Inc.,3.000000,23.86,USD,0
2022-02-04,Sell,AAPL,Apple Inc.,0.259516,171.55,USD,0
2022-01-24,Sell,KO,The Coca-Cola Company,3.000000,60.08,USD,1.14
2022-01-03,Sell,CSCO,Cisco Systems Inc.,1.000000,63.00,USD,0
2021-12-01,Sell,AAPL,Apple Inc.,0.259516,167.47,USD,0
2021-11-16,Sell,GOOGL,Alphabet Inc.,0.033794,2954.09,USD,0
2021-10-04,Buy,DBX,Dropbox Inc.,1.000000,28.16,USD,0
2021-08-12,Sell,GOOGL,Alphabet Inc.,0.030000,2731.00,USD,1.17
2021-08-03,Sell,AAPL,Apple Inc.,0.360000,147.89,USD,0
2021-07-08,Buy,BABA,Alibaba Group Holding Ltd.,0.250125,199.90,USD,0
2021-06-01,Buy,BABA,Alibaba Group Holding Ltd.,0.136761,219.36,USD,0
2021-05-24,Buy,BABA,Alibaba Group Holding Ltd.,0.143706,208.76,USD,0
2021-04-07,Buy,BABA,Alibaba Group Holding Ltd.,0.123528,226.67,USD,0
2021-03-03,Sell,TSLA,Tesla Inc.,0.300670,671.07,USD,1.20
2021-03-02,Sell,ADBE,Adobe Inc.,0.060000,464.00,USD,1.20
2021-03-01,Sell,AAPL,Apple Inc.,0.440000,126.36,USD,1.20
2021-03-01,Sell,GOOGL,Alphabet Inc.,0.020000,2057.00,USD,0
2021-02-22,Buy,NIO,NIO Inc.,1.000000,50.65,USD,1.21
2021-02-17,Buy,AAPL,Apple Inc.,0.383936,130.23,USD,0
2021-02-10,Buy,KO,The Coca-Cola Company,1.000000,49.88,USD,0
2021-02-03,Sell,SPCE,Virgin Galactic Holdings Inc.,1.280000,56.87,USD,0
2021-01-25,Buy,NIO,NIO Inc.,1.670000,60.05,USD,1.21
2021-01-20,Buy,KO,The Coca-Cola Company,1.000000,48.52,USD,0
2021-01-13,Buy,KO,The Coca-Cola Company,1.000000,50.05,USD,0
2021-01-13,Buy,META,Meta Platforms Inc.,0.250000,251.24,USD,0
2020-12-31,Buy,MSFT,Microsoft Corporation,0.291041,219.90,USD,0
2020-12-31,Buy,AMZN,Amazon.com Inc.,0.019048,3255.00,USD,0
2020-12-24,Buy,BABA,Alibaba Group Holding Ltd.,0.264026,227.25,USD,0
2020-11-18,Buy,BABA,Alibaba Group Holding Ltd.,0.201363,258.24,USD,0
2020-11-06,Buy,SPCE,Virgin Galactic Holdings Inc.,1.280000,18.78,USD,0
2020-11-05,Buy,BABA,Alibaba Group Holding Ltd.,0.302614,284.19,USD,0
2020-10-26,Buy,INTC,Intel Corporation,1.000000,46.37,USD,0
2020-10-21,Buy,JNJ,Johnson & Johnson,0.505645,144.37,USD,0
2020-10-02,Buy,DBX,Dropbox Inc.,3.000000,19.24,USD,0
2020-09-30,Buy,MDT,Medtronic plc,0.191424,104.48,USD,0
2020-09-30,Buy,GOOGL,Alphabet Inc.,0.033794,1479.56,USD,0
2020-09-08,Buy,TSLA,Tesla Inc.,0.150670,331.85,USD,0
2020-08-27,Buy,AAPL,Apple Inc.,0.259516,127.16,USD,0
2020-08-17,Buy,CSCO,Cisco Systems Inc.,0.300000,42.03,USD,0
2020-08-13,Buy,INTC,Intel Corporation,1.000000,48.84,USD,0
2020-07-31,Buy,BRK.B,Berkshire Hathaway Inc,0.110000,194.00,USD,0
2020-07-10,Buy,MDT,Medtronic plc,0.400000,89.98,USD,0
2020-07-10,Buy,ABT,Abbott Laboratories,0.300000,92.67,USD,0
2020-06-30,Buy,BRK.B,Berkshire Hathaway Inc,0.110000,177.64,USD,0
2020-06-30,Buy,GOOGL,Alphabet Inc.,0.010000,1403.00,USD,0
2020-05-27,Buy,TSLA,Tesla Inc.,0.150000,161.80,USD,0
2020-05-06,Buy,WM,Waste Management Inc.,0.300000,96.70,USD,0
2020-05-04,Buy,BRK.B,Berkshire Hathaway Inc,0.170000,176.88,USD,0
2020-04-30,Buy,WM,Waste Management Inc.,0.210000,99.57,USD,0
2020-04-15,Buy,V,Visa Inc.,0.130000,166.92,USD,0
2020-04-15,Buy,BRK.B,Berkshire Hathaway Inc,0.120000,188.92,USD,0
2020-03-26,Buy,WM,Waste Management Inc.,0.250000,93.92,USD,0
2020-03-26,Buy,AAPL,Apple Inc.,0.360000,62.64,USD,0
2020-03-26,Buy,GOOGL,Alphabet Inc.,0.020000,1127.00,USD,0
2020-02-25,Buy,ADBE,Adobe Inc.,0.026000,361.15,USD,0
2020-02-25,Buy,AAPL,Apple Inc.,0.240000,75.33,USD,0
2020-02-25,Buy,GOOGL,Alphabet Inc.,0.013500,1429.63,USD,0
2019-11-29,Buy,WM,Waste Management Inc.,0.150000,113.20,USD,1.09
2019-11-18,Buy,AMZN,Amazon.com Inc.,0.005700,1740.35,USD,0
2019-11-08,Buy,AMZN,Amazon.com Inc.,0.012000,1781.67,USD,0
2019-10-25,Buy,CSCO,Cisco Systems Inc.,0.480000,46.88,USD,1.10
2019-10-18,Buy,CSCO,Cisco Systems Inc.,0.220000,44.68,USD,0
2019-10-17,Buy,AAPL,Apple Inc.,0.200000,59.00,USD,0
2019-10-07,Buy,ADBE,Adobe Inc.,0.034000,276.47,USD,0
2017-10-17,Buy,GOOGL,Alphabet Inc.,0.006500,1256.92,USD,0
